id,rating,title,content,author,date,helpful_votes,verified_purchase
r001,5,운동할 때 최고,러닝하면서 매일 사용하고 있어요. 땀을 많이 흘려도 잘 빠지지 않고 음질도 훌륭합니다. 배터리는 하루 종일 써도 충분해요.,운동러버,2024-01-15,45,true
r002,4,음질 좋지만 통화 품질은 아쉬워요,음악 들을 때는 정말 좋은데 통화할 때 상대방이 제 목소리가 잘 안 들린다고 해요. 노이즈 캔슬링은 훌륭합니다.,음악덕후,2024-01-14,32,true
r003,5,노이즈 캔슬링 대박,지하철에서 사용하는데 주변 소음이 거의 안 들려요. 출퇴근길이 천국이 됐습니다. 충전 케이스도 컴팩트하고 예뻐요.,출퇴근러,2024-01-13,28,true
r004,3,귀가 작으면 불편할 수 있어요,이어팁을 가장 작은 걸로 바꿔도 귀에서 자꾸 빠져요. 음질이나 기능은 좋은데 피팅감이 아쉽네요.,소귀소녀,2024-01-12,56,true
r005,5,에어팟보다 나은 것 같아요,에어팟 프로 쓰다가 갈아탔는데 만족합니다. 음질이 더 풍부하고 배터리도 오래 가요. 안드로이드 연동도 완벽하고요.,갤럭시유저,2024-01-11,89,true
r006,4,방수는 IPX4 정도,비 오는 날 잠깐 쓰는 정도는 괜찮은데 수영장에서는 사용 못해요. 운동 중 땀 정도는 문제없습니다.,수영마니아,2024-01-10,23,true
r007,2,블루투스 연결이 자주 끊겨요,사람 많은 곳에서 블루투스가 자주 끊깁니다. 집에서는 괜찮은데 지하철이나 번화가에서 음악이 뚝뚝 끊겨서 스트레스받아요.,연결불안,2024-01-09,67,true
r008,5,가성비 최고입니다,이 가격에 노이즈 캔슬링 좋은 음질 긴 배터리까지. 더 바랄 게 없어요. 친구들한테도 추천했어요.,가성비왕,2024-01-08,112,true
r009,4,케이스가 좀 미끄러워요,이어폰 자체는 완벽한데 케이스 표면이 미끄러워서 자꾸 떨어뜨릴 것 같아요. 케이스 커버 별도로 샀습니다.,버터핑거,2024-01-07,34,true
r010,5,배터리가 진짜 오래 가요,완충하면 이어폰만 8시간 케이스 포함 32시간 쓸 수 있어요. 출장 갈 때 충전기 안 가져가도 될 정도.,출장러,2024-01-06,78,true
r011,5,저음이 풍부해요,베이스가 정말 좋습니다. EDM이나 힙합 들을 때 완전 몰입감 있어요. 고음도 깨끗하고 전체적으로 밸런스 좋아요.,베이스매니아,2024-01-05,41,true
r012,3,앱이 좀 불편해요,이어폰은 좋은데 전용 앱 UI가 좀 불편합니다. 이퀄라이저 설정하려면 한참 찾아야 해요. 앱 업데이트 좀 해주세요.,앱개발자,2024-01-04,29,true
r013,5,선물용으로 샀는데 대만족,남자친구 생일 선물로 샀는데 너무 좋아하네요. 패키징도 고급스럽고 성능도 좋다고 합니다.,선물왕,2024-01-03,52,true
r014,4,터치 컨트롤이 민감해요,볼륨 조절하려다가 자꾸 다음 곡으로 넘어가요. 터치 감도 조절 기능이 있으면 좋겠어요. 그 외에는 만족합니다.,터치왕,2024-01-02,38,true
r015,5,ASMR 듣기 좋아요,노캔 키고 ASMR 들으면 완전 몰입돼요. 디테일한 소리까지 다 들려서 좋습니다. 수면용으로도 괜찮아요.,ASMR러버,2024-01-01,61,true
